SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0000921,공공안전시설물현황(C),용강수문(이중),null,서울특별시 마포구 현석동 115,,,14130514.96,4514973.951,
SFT0000922,공공안전시설물현황(B),와우산배수지,서울특별시 마포구 와우산로30길 31,서울특별시 마포구 와우산로30길 31,,,14129890.72,4516371.099,
SFT0000923,공공안전시설물현황(B),6호선 (6130) 광흥창역사,서울특별시 마포구 독막로 지하 165,"서울특별시 마포구 독막로 지하 165, 광흥창역 (창전동)",,,14129999.14,4515696.757,
SFT0000924,공공안전시설물현황(B),상수배수문(이중),서울특별시 마포구 토정로 148-22,서울특별시 마포구 상수동 282,,,14129440.16,4515333.60699999,
SFT0000925,공공안전시설물현황(A),상수빗물펌프장,서울특별시 마포구 토정로 148-22,서울특별시 마포구 토정로 148-22 (상수동),,,14129440.16,4515333.60699999,
SFT0000926,공공안전시설물현황(A),상수나들목(육갑문),서울특별시 마포구 토정로 126,서울특별시 마포구 토정로 126 (상수동),,,14129229.72,4515338.78799999,
SFT0000927,공공안전시설물현황(B),6호선 (6127) 합정역~상수역간 터널,서울특별시 마포구 독막로 85,서울특별시 마포구 상수동 독막로 85 상수역 지하철역(6호선),,,14128976.76,4515759.672,
SFT0000928,공공안전시설물현황(B),6호선 (6129) 상수역~광흥창역간 터널,서울특별시 마포구 독막로 85,서울특별시 마포구 상수동 독막로 85 상수역 지하철역(6호선),,,14128976.76,4515759.672,
SFT0000929,공공안전시설물현황(B),6호선 (6128) 상수역사,서울특별시 마포구 독막로 지하 85,"서울특별시 마포구 독막로 지하 85, 상수역 (상수동)",,,14128937.97,4515736.463,
SFT0000930,공공안전시설물현황(B),봉원빗물펌프장,서울특별시 마포구 신수동 창전로  10,서울특별시 마포구 창전로 10,,,14129790.73,4515189.614,
SFT0000931,공공안전시설물현황(C),봉원배수문(이중),서울특별시 마포구 창전로 10,서울특별시 마포구 신정동 145-7,,,14129790.73,4515189.614,
SFT0000932,공공안전시설물현황(B),당인교,null,서울특별시 마포구 당인동 312-1,,,14128639.36,4515080.245,
SFT0000933,공공안전시설물현황(B),당인배수문(이중),서울특별시 마포구 토정로4길 55-9,서울특별시 마포구 당인동 1-10,,,14128307.87,4515096.65699999,
SFT0000934,공공안전시설물현황(B),2-078 합정역,서울특별시 마포구 서교동 양화로  55,서울특별시 마포구 서교동 양화로 55 합정역 지하철역(2호선),,,14128092.02,4516011.338,
SFT0000935,공공안전시설물현황(A),6호선 (6123) 마포구청역~망원역간 터널,null,서울특별시 마포구 서교동 476-22,,,14127745.04,4516714.542,
SFT0000936,공공안전시설물현황(B),2-079 합정역-홍대입구역(2),서울특별시 마포구 양화로 지하 55,서울특별시 마포구 양화로 지하 55,,,14128072.51,4516065.507,
SFT0000937,공공안전시설물현황(B),6호선 (6125) 망원역~합정역간 터널,null,서울특별시 마포구 서교동 476-22,,,14127745.04,4516714.542,
SFT0000938,공공안전시설물현황(B),2-081 홍대입구역-신촌역(2),서울특별시 마포구 양화로 지하 160,서울특별시 마포구 양화로 지하 160,,,14129078.31,4517017.16199999,
SFT0000939,공공안전시설물현황(B),2-080 홍대입구역,서울특별시 마포구 동교동 양화로  160,서울특별시 마포구 동교동 양화로 160 홍대입구역 지하철역(2호선),,,14129065.68,4517020.813,
SFT0000940,공공안전시설물현황(B),"4,5호기옹벽",서울특별시 마포구 토정로 56,"서울특별시 마포구 토정로 56, 한국중부발전(주)서울화력발전소 (합정동)",,,14128534.7,4515199.217,
SFT0000941,공공안전시설물현황(B),합정빗물펌프장,서울특별시 마포구 합정동 토정로  8-19,서울특별시 마포구 토정로 8-19,,,14127798.62,4515345.02099999,
SFT0000942,공공안전시설물현황(B),6호선 (6126) 합정역사,서울특별시 마포구 양화로 지하 45,"서울특별시 마포구 양화로 지하 45, 합정역(6호선) (합정동)",,,14127950.65,4515926.194,
SFT0000943,공공안전시설물현황(B),서호교,null,서울특별시 마포구 합정동 352-5,,,14127380.08,4515480.57799999,
SFT0000944,공공안전시설물현황(B),잠두봉지하차도,null,서울특별시 마포구 합정동 72-5,,,14128087.16,4515119.40099999,
SFT0000945,공공안전시설물현황(B),합정배수문(이중),서울특별시 마포구 합정동 토정로  8-19,서울특별시 마포구 토정로 8-19 (합정동),,,14127798.62,4515345.02099999,
SFT0000946,공공안전시설물현황(B),당인빗물펌프장,서울특별시 마포구 합정동 토정로4길  55-9,서울특별시 마포구 토정로4길 55-9,,,14128307.87,4515096.65699999,
SFT0000947,공공안전시설물현황(A),합정빗물펌프장(2동),서울특별시 마포구 토정로 8-11,서울특별시 마포구 토정로 8-11 (합정동),,,14127777.92,4515391.592,
SFT0000948,공공안전시설물현황(C),성산대교,null,서울특별시 마포구 망원동 450,,,14126588.99,4517103.381,
SFT0000949,공공안전시설물현황(B),망원1빗물펌프장,서울특별시 마포구 방울내로11길 198,서울특별시 마포구 방울내로 11길 198,,,14126046.9,4517131.171,
SFT0000950,공공안전시설물현황(A),망원(보행)나들목(육갑문),서울특별시 마포구 망원로 1,서울특별시 마포구 망원동 232-30,,,14126099.04,4516873.665,
SFT0000951,공공안전시설물현황(B),망원1교,null,서울특별시 마포구 망원동 312-2,,,14125788.34,4517260.966,
SFT0000952,공공안전시설물현황(B),망원1빗물펌프장(2동),서울특별시 마포구 방울내로11길 198,서울특별시 마포구 방울내로11길 198,,,14126046.9,4517131.171,
SFT0000953,공공안전시설물현황(B),성산지하차도,null,서울특별시 마포구 망원동 468,,,14126593.35,4517594.36899999,
SFT0000954,공공안전시설물현황(B),망원2빗물펌프장,서울특별시 마포구 동교로 7,서울특별시 마포구 동교로 7,,,14126754.53,4516301.91799999,
SFT0000955,공공안전시설물현황(B),마포구민체육센터,서울특별시 마포구 월드컵로25길 190,서울특별시 마포구 월드컵로25길 190 (마포구민체육센터),,,14126105.14,4516999.00499999,
