SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0014282,약국,망원그랜드약국,"서울특별시 마포구 월드컵로 79, 유용빌딩 1층 (망원동)",,126.909837708961,37.5559403734127,14127538.510418529,4516883.617771187,
SFT0014283,약국,망원동약국,"서울특별시 마포구 망원로 69, 1층 (망원동)",,126.9045651984,37.5574153965,14126951.577227674,4517090.743173192,
SFT0014284,약국,망원우리약국,"서울특별시 마포구 망원로8길 55, 구앤윤브릭하우스 1층 (망원동)",,126.90641528503986,37.55497697692509,14127157.527930345,4516748.338112354,
SFT0014285,약국,매일여는약국,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 B1094호 (상암동)",,126.8903224924,37.5794413686,14125366.086448237,4520184.157803709,
SFT0014286,약국,메디칼약국,"서울특별시 마포구 월드컵로14길 5, (서교동)",,126.91067839392693,37.55602903507213,14127632.095040852,4516896.067685486,
SFT0014287,약국,메디컬성모약국,"서울특별시 마포구 월드컵로 73, 1층 (망원동)",,126.91035768411635,37.5554233265758,14127596.393788045,4516811.014092355,
SFT0014288,약국,메디팜신마포약국,"서울특별시 마포구 창전로 45, 103동 108호 (창전동, 서강한화오벨리스크 단지내 상가)",,126.93200419443042,37.54686387838397,14130006.072293658,4515609.17019293,
SFT0014289,약국,명성약국,서울특별시 마포구 월드컵로 87,,126.90930743801741,37.556481917511064,14127479.480927104,4516959.661893802,
SFT0014290,약국,명치약국,"서울특별시 마포구 임정로15길 13, (신공덕동)",,126.95723646743497,37.54333297825204,14132814.916076083,4515113.431853396,
SFT0014291,약국,미소가득한약국,서울특별시 마포구 월드컵북로 396,,126.89114297594006,37.57952441907716,14125457.42225812,4520195.823472563,
SFT0014292,약국,미소약국,서울특별시 마포구 마포대로 68,,126.94897874880843,37.54135156107907,14131895.671043463,4514835.251188753,
SFT0014293,약국,미약국,"서울특별시 마포구 신촌로 174, 102호 (대흥동)",,126.94499698627166,37.55648609716972,14131452.423265409,4516960.2488074815,
SFT0014294,약국,보천약국,"서울특별시 마포구 신촌로 266-1, 1층 (아현동)",,126.95526387960795,37.557081483191965,14132595.328603635,4517043.854105275,
SFT0014350,약국,비온뒤숲속약국,"서울특별시 마포구 월드컵로 111, (망원동)",,126.90785994814774,37.55818205906359,14127318.347091885,4517198.400932341,
SFT0014351,약국,비타민약국,"서울특별시 마포구 백범로 90, 1층 (대흥동)",,126.94152702994893,37.54783844760669,14131066.14949449,4515746.003836036,
SFT0014352,약국,사랑의약국,서울특별시 마포구 독막로 10,,126.91450007830477,37.54850668644169,14128057.522999765,4515839.828430254,
SFT0014353,약국,사랑이가득한약국,서울특별시 마포구 월드컵북로 224,,126.90451418190491,37.569837939038415,14126945.898097418,4518835.301702402,
SFT0014354,약국,상수약국,"서울특별시 마포구 큰우물로 75, 1층4호 (도화동)",,126.94616655514358,37.541275077754094,14131582.619076679,4514824.513475952,
SFT0014355,약국,상암올리브약국,"서울특별시 마포구 월드컵북로 402, 케이지아이티센터 314호 (상암동)",,126.88898110243768,37.58010684988462,14125216.763600675,4520277.634866408,
SFT0014356,약국,새봄약국,서울특별시 마포구 월드컵로13길 34 두드림빌딩 1층,,126.9082614296649,37.55565597576693,14127363.039809939,4516843.682612334,
SFT0014357,약국,샘터약국,"서울특별시 마포구 효창원로97길 10, (공덕동)",,126.96299081582032,37.549360803410536,14133455.487208188,4515959.752613312,
