SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GUBUN
SFT0024586,대학교(502040),홍익대학교 교육대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129244.11,4516390.339,대학교
SFT0024587,대학교(502040),홍익대학교 경영대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129174.81,4516362.836,대학교
SFT0024588,대학교(502040),홍익대학교 대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129280.27,4516143.919,대학교
SFT0024589,대학교(502040),홍익대학교 국제디자인전문대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129397.95,4516145.354,대학교
SFT0024590,대학교(502040),홍익대학교 문화예술경영대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129406.09,4516134.566,대학교
SFT0024591,대학교(502040),홍익대학교 미술대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129381.04,4516145.933,대학교
SFT0024727,편의점(509010),미니스톱,서울특별시 마포구 와우산로 94,서울특별시 마포구 상수동 72-1,,,14129217.67,4516414.637,편의점
SFT0024826,편의점(509010),CU,서울특별시 마포구 월드컵북로 118,서울특별시 마포구 성산동 52-17,,,14127944.93,4517972.681,편의점
SFT0024988,편의점(509010),미니스톱,서울특별시 마포구 희우정로20길 54,서울특별시 마포구 망원동 409-41,,,14126812.27,4516878.899,편의점
SFT0024992,편의점(509010),CU,서울특별시 마포구 연남로 10,서울특별시 마포구 연남동 373-9,,,14129044.68,4517553.908,편의점
SFT0025004,편의점(509010),CU,서울특별시 마포구 신촌로 170,서울특별시 마포구 대흥동 12-27,,,14131381.26,4516940.29,편의점
SFT0025171,편의점(509010),GS25,서울특별시 마포구 백범로 84,서울특별시 마포구 대흥동 316-1,,,14130968.18,4515802.018,편의점
SFT0025304,편의점(509010),GS25,서울특별시 마포구 월드컵로 126,서울특별시 마포구 성산동 260-39,,,14127249.85,4517388.86,편의점
SFT0025327,편의점(509010),세븐일레븐상암누리꿈스퀘어점,서울특별시 마포구 월드컵북로 396,서울특별시 마포구 상암동 1605,,,14125309.3,4520190.54,편의점
SFT0025466,편의점(509010),GS25,서울특별시 마포구 광성로6안길 18,서울특별시 마포구 신수동 89-93,,,14130641.2,4515864.099,편의점
SFT0025471,편의점(509010),GS25마포하이엘점,서울특별시 마포구 마포대로 173,서울특별시 마포구 공덕동 463,,,14132503.8,4516034.355,편의점
SFT0025622,편의점(509010),CU,서울특별시 마포구 만리재로 45,서울특별시 마포구 신공덕동 12-6,,,14132629.02,4515419.645,편의점
SFT0025632,편의점(509010),GS25,서울특별시 마포구 신수로 28,서울특별시 마포구 현석동 47,,,14130266.86,4515210.857,편의점
SFT0025659,편의점(509010),LoGin편의점,서울특별시 마포구 월드컵북로44길 78,서울특별시 마포구 상암동 12-10,,,14125738.19,4519942.497,편의점
SFT0025781,편의점(509010),세븐일레븐,서울특별시 마포구 성암로 301,서울특별시 마포구 상암동 1595,,,14125132.99,4520607.379,편의점
SFT0025789,편의점(509010),GS25,서울특별시 마포구 성지길 36,서울특별시 마포구 합정동 375-11,,,14127887.27,4515649.045,편의점
SFT0025810,편의점(509010),CU,서울특별시 마포구 만리재옛길 21,서울특별시 마포구 공덕동 242-89,,,14132596.73,4515491.394,편의점
SFT0025815,편의점(509010),CU마포애오개점,서울특별시 마포구 마포대로16길 4,서울특별시 마포구 공덕동 105-97,,,14132671,4516180.449,편의점
SFT0025978,편의점(509010),GS25,서울특별시 마포구 마포대로8길 9,서울특별시 마포구 공덕동 249-12,,,14132445.9,4515574.471,편의점
