SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0000038,소방서(511010),마포소방서(마포소방서),서울특별시 마포구 창전로 76,서울특별시 마포구 신수동 100-5,,,14130133.7452,4515936.12149,
SFT0000312,119안전센터(511020),공덕119안전센터(마포소방서),서울특별시 마포구 만리재옛길 82,서울특별시 마포구 공덕동 29-7,,,14133097.9606,4516056.78857,
SFT0000313,119안전센터(511020),염리119안전센터(마포소방서),서울특별시 마포구 토정로 37길 27,서울특별시 마포구 염리동 174-19,,,14131517.3575,4514887.8901,
SFT0000314,119안전센터(511020),신수119안전센터(마포소방서),서울특별시 마포구 창전로 76,서울특별시 마포구 신수동 100-5,,,14130133.7452,4515936.12149,
SFT0000315,119안전센터(511020),서교119안전센터(마포소방서),서울특별시 마포구 양화로 60,서울특별시 마포구 서교동 394-42,,,14128175.5352,4516089.47591,
SFT0000316,119안전센터(511020),성산119안전센터(마포소방서),서울특별시 마포구 월드컵북로 240,서울특별시 마포구 성산동 448,,,14126790.5983,4518944.32549,
SFT0000317,119안전센터(511020),상암119안전센터(마포소방서),서울특별시 마포구 월드컵로42길 34,서울특별시 마포구 상암동 1677,,,14124352.0391,4520253.51141,
