SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0000116,붕괴,건물붕괴,null,서울특별시 마포구 상암동 1607,,,14125587.4231,4520151.0037,
SFT0000400,붕괴,건물붕괴,null,서울특별시 마포구 도화동 25-13,,,14132196.7267,4515030.656,
SFT0000421,붕괴,건물붕괴,서울특별시 마포구 토정로 316,서울특별시 마포구 용강동 51-3,,,14131285.0003,4514573.0621,
