정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명
GGB100000380,서울역사박물관.경희궁앞(중),37.5690667,126.9703167,2.0221E+13,1007,11,서울특별시,경기도
GGB100000384,광화문(중),37.5701333,126.97625,2.0221E+13,1009,11,서울특별시,경기도
GGB100000385,광화문(중),37.57025,126.9777667,2.0221E+13,1010,11,서울특별시,경기도
GGB100000386,종로1가(중),37.5701333,126.9809,2.0221E+13,1011,11,서울특별시,경기도
GGB100000387,종로1가(중),37.57025,126.9813833,2.0221E+13,1012,11,서울특별시,경기도
GGB100000388,종로2가(중),37.5701167,126.9855333,2.0221E+13,1013,11,서울특별시,경기도
GGB100000389,종로2가,37.57025,126.9862333,2.0221E+13,1014,11,서울특별시,경기도
GGB100000390,종로3가.탑골공원(중),37.5702333,126.9895667,2.0221E+13,1015,11,서울특별시,경기도
GGB100000391,종로3가.탑골공원(중),37.5703667,126.9899833,2.0221E+13,1016,11,서울특별시,경기도
GGB100000392,종로4가.종묘(중),37.5705,126.9947167,2.0221E+13,1017,11,서울특별시,경기도
GGB100000393,종로4가.종묘(중),37.5706667,126.9952833,2.0221E+13,1018,11,서울특별시,경기도
GGB100000394,종로5가.광장시장(중),37.57075,126.99885,2.0221E+13,1019,11,서울특별시,경기도
GGB100000395,종로5가.광장시장(중),37.5709167,126.9993167,2.0221E+13,1020,11,서울특별시,경기도
GGB100000396,종로6가.동대문종합시장(중),37.5709833,127.00345,2.0221E+13,1021,11,서울특별시,경기도
GGB100000397,종로6가.동대문종합시장(중),37.5711667,127.0057,2.0221E+13,1022,11,서울특별시,경기도
GGB100000398,동대문역.흥인지문(중),37.5723167,127.01345,2.0221E+13,1023,11,서울특별시,경기도
GGB101000001,남대문세무서.서울백병원(중),37.5649667,126.9875333,2.0221E+13,2001,11,서울특별시,경기도
GGB101000002,서울백병원.국가인권위.안중근활동터(중),37.5643167,126.98785,2.0221E+13,2002,11,서울특별시,경기도
GGB101000004,서울역버스환승센터,37.5555167,126.9725,2.0221E+13,2004,11,서울특별시,경기도
GGB101000005,서울역버스환승센터(5번승강장)(중),37.55515,126.9726833,2.0221E+13,2005,11,서울특별시,경기도
GGB101000006,서울역버스환승센터(6번승강장)(중),37.55515,126.9727333,2.0221E+13,2006,11,서울특별시,경기도
GGB101000007,서울역버스환승센터.강우규의거터,37.5555167,126.9730667,2.0221E+13,2007,11,서울특별시,경기도
GGB101000008,숭례문(중),37.5584667,126.9736833,2.0221E+13,2008,11,서울특별시,경기도
GGB101000013,서울역서부,37.55705,126.9692,2.0221E+13,2105,11,서울특별시,경기도
GGB101000015,종근당.충정로역,37.5596167,126.9644833,2.0221E+13,2107,11,서울특별시,경기도
GGB101000016,한국경제신문사,37.5604667,126.96775,2.0221E+13,2108,11,서울특별시,경기도
GGB101000017,한국경제신문사,37.56065,126.9680833,2.0221E+13,2109,11,서울특별시,경기도
GGB101000018,경찰청.동북아역사재단,37.5630333,126.96915,2.0221E+13,2110,11,서울특별시,경기도
GGB101000020,서대문경찰서.농협은행.유관순활동터,37.56495,126.9677333,2.0221E+13,2113,11,서울특별시,경기도
GGB101000022,숭례문,37.5581167,126.9731167,2.0221E+13,2117,11,서울특별시,경기도
