SAFETY_SORT,SAFETY_GUBUN,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LON,SAFETY_LAT,SAFETY_X,SAFETY_Y
edu,대학교,대학교(502040),홍익대학교 영상/ 커뮤니케이션대학원,서울특별시 마포구 와우산로 94,서울특별시 마포구 창전동 436-2,,,14129240.91,4516430.771
edu,대학교,대학교(502040),홍익대학교 건축도시대학원,서울특별시 마포구 와우산로 94,서울특별시 마포구 창전동 436-2,,,14129227.42,4516429.823
edu,대학교,대학교(502040),홍익대학교 광고홍보대학원,서울특별시 마포구 와우산로 94,서울특별시 마포구 창전동 436-2,,,14129195.46,4516394.985
edu,대학교,대학교(502040),홍익대학교 공연예술대학원,서울특별시 마포구 와우산로 94,서울특별시 마포구 창전동 436-2,,,14129219.43,4516413.75
edu,대학교,대학교(502040),홍익대학교 산업미술대학원,서울특별시 마포구 와우산로 94,서울특별시 마포구 창전동 436-2,,,14129210.78,4516398.345
edu,대학교,대학교(502040),홍익대학교 패션대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129283.12,4516160.733
edu,대학교,대학교(502040),홍익대학교,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129187.46,4516378.242
edu,대학교,대학교(502040),홍익대학교 교육대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129244.11,4516390.339
edu,대학교,대학교(502040),홍익대학교 경영대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129174.81,4516362.836
edu,대학교,대학교(502040),홍익대학교 대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129280.27,4516143.919
edu,대학교,대학교(502040),홍익대학교 국제디자인전문대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129397.95,4516145.354
edu,대학교,대학교(502040),홍익대학교 문화예술경영대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129406.09,4516134.566
edu,대학교,대학교(502040),홍익대학교 미술대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",서울특별시 마포구 상수동 72-1,,,14129381.04,4516145.933
health,복지시설,자살예방센터(504080),마포구정신건강복지센터,서울특별시 마포구 성산로 4길 15 성산1동주민센터 3층,서울특별시 마포구 성산동 275-3,,,14127322.32,4517926.726
public,공공기관,공공기관(501010),서울아현동우체국,서울특별시 마포구 신촌로 266,null,,,14132580.65,4517039.138
public,공공기관,공공기관(501010),서울공덕2동우편취급국,서울특별시 마포구 마포대로 14길 14-1,null,,,14132692.48,4515813.153
public,공공기관,공공기관(501010),종합민원실,서울특별시 마포구 마포대로 174,null,,,14132632.76,4515973.161
public,공공기관,공공기관(501010),서울서부지방법원우체국,서울특별시 마포구 마포대로 174,null,,,14132632.76,4515973.161
public,공공기관,공공기관(501010),공덕동주민센터,서울특별시 마포구 만리재옛길 84 (공덕동),null,,,14133127.99,4516074.831
public,공공기관,공공기관(501010),아현동주민센터,서울특별시 마포구 마포대로7길 18 (공덕동),null,,,14132253.42,4515645.06
public,공공기관,공공기관(501010),서울서부지방법원,서울특별시 마포구 마포대로 174,null,,,14132632.76,4515973.161
public,공공기관,공공기관(501010),서울서부지청,"서울특별시 마포구 독막로 320 태영데시앙빌딩 3, 5층",null,,,14131773.66,4515061.544
public,공공기관,공공기관(501010),도화동주민센터,서울특별시 마포구 도화길 37 (도화동),null,,,14131996.37,4514857.846
public,공공기관,공공기관(501010),서울서부고용복지플러스센터,"서울특별시 마포구 마포대로 63-8 (도화동) 삼창플라자 1, 4, 5층",null,,,14131764.7,4514961.513
public,공공기관,공공기관(501010),서울마포우체국,서울특별시 마포구 마포대로 89,null,,,14131974.75,4515103.017
public,공공기관,공공기관(501010),서울도화동우편취급국,서울특별시 마포구 삼개로 24(도화동),null,,,14131703.19,4514376.406
public,공공기관,공공기관(501010),용강동주민센터,서울특별시 마포구 토정로31길 31 (용강동),null,,,14131215.33,4514975.566
public,공공기관,공공기관(501010),서울용강동우편취급국,서울특별시 마포구 토정로 277,null,,,14130968.66,4514953.791
public,공공기관,공공기관(501010),서울대흥동우편취급국,서울특별시 마포구 백범로17길 3,null,,,14131304.33,4515690.06
public,공공기관,공공기관(501010),염리동주민센터,서울특별시 마포구 숭문길 14 (염리동),null,,,14131525.36,4515638.153
public,공공기관,공공기관(501010),서울노고산우편취급국,서울특별시 마포구 백범로1길 18,null,,,14130670.64,4516700.066
public,공공기관,공공기관(501010),대흥동주민센터,서울특별시 마포구 신촌로 26길 10 (노고산동),null,,,14131165.09,4516873.947
public,공공기관,공공기관(501010),마포세무서,서울특별시 마포구 독막로 234 (신수동),null,,,14130838.46,4515555.75
public,공공기관,공공기관(501010),서강대학교우편취급국,서울특별시 마포구 백범로 35 우정관1층,null,,,14130800.1,4516121.715
public,공공기관,공공기관(501010),신수동주민센터,서울특별시 마포구 독막로 192 (신수동),null,,,14130365.12,4515638.939
public,공공기관,공공기관(501010),서울신수동우편취급국,서울특별시 마포구 신수로 46,null,,,14130284.08,4515452.049
public,공공기관,공공기관(501010),서강동주민센터,서울특별시 마포구 독막로 165 (창전동),null,,,14130012.6,4515732.322
public,공공기관,공공기관(501010),서울서교동우체국,서울특별시 마포구 양화로 62,null,,,14128188,4516101.018
public,공공기관,공공기관(501010),서교동주민센터,서울특별시 마포구 동교로15길 7 (서교동),null,,,14128066.95,4516767.621
public,공공기관,공공기관(501010),서울동교동우편취급국,서울특별시 마포구 신촌로4길 3,null,,,14129645.26,4517129.95
public,공공기관,공공기관(501010),합정동주민센터,서울특별시 마포구 월드컵로5길 11 (합정동),null,,,14127748.83,4516276.826
public,공공기관,공공기관(501010),망원1동주민센터,서울특별시 마포구 포은로6길 10 (망원동),null,,,14127078.41,4516835.823
public,공공기관,공공기관(501010),망원2동주민센터,서울특별시 마포구 방울내로7길 11 (망원동),null,,,14126701.57,4517498.204
public,공공기관,공공기관(501010),연남동주민센터,서울특별시 마포구 성미산로29길 17-9 (연남동),null,,,14128894.75,4518086.771
public,공공기관,공공기관(501010),서울성산동우체국,서울특별시 마포구 월드컵북로 112,null,,,14127986.78,4517932.025
public,공공기관,공공기관(501010),마포중앙도서관,서울특별시 마포구 성산로 128 (성산동),null,,,14127386.63,4517965.532
public,공공기관,공공기관(501010),서울성산유원우편취급국,서울특별시 마포구 월드컵북로 26길 17,null,,,14127687.97,4518494.185
public,공공기관,공공기관(501010),성산2동주민센터,서울특별시 마포구 월드컵북로30길 22 (성산동),null,,,14127446.53,4518669.795
public,공공기관,공공기관(501010),서울성산2동우체국,서울특별시 마포구 월드컵북로 227,null,,,14126835.16,4518796.786
public,공공기관,공공기관(501010),성산1동주민센터,서울특별시 마포구 성산로4길 15 (성산동),null,,,14127416.12,4518029.15
public,공공기관,공공기관(501010),서울상암디지털우체국,서울특별시 마포구 상암산로 1길 75,null,,,14124583.87,4520347.046
public,공공기관,공공기관(501010),상암동주민센터,서울특별시 마포구 매봉산로2길 16 (상암동),null,,,14125851.69,4520029.245
public,공공기관,공공기관(501010),서울상암동우편취급국,서울특별시 마포구 월드컵북로 352,null,,,14125685.12,4519832.36
safe,아동복지관,아동안전지킴이집(504040),광명상사(알파문구),서울특별시 마포구 굴레방로 9-1 (아현동),서울특별시 마포구 아현동 282-2,,,14132680.98,4516728.374
safe,아동복지관,아동안전지킴이집(504040),유명온누리약국,서울특별시 마포구 만리재옛길 101-1 (아현동),서울특별시 마포구 아현동 402,,,14133288.47,4516249.292
safe,아동복지관,아동안전지킴이집(504040),소망문구,서울특별시 마포구 마포대로24길 51 (아현동),서울특별시 마포구 아현동 395-1,,,14133345.87,4516300.542
safe,아동복지관,아동안전지킴이집(504040),성아음악학원,서울특별시 마포구 마포대로24길 27 (아현동),서울특별시 마포구 아현동 749-4,,,14133147.91,4516543.782
safe,아동복지관,아동안전지킴이집(504040),대륙마트,서울특별시 마포구 마포대로6길 20-1 (공덕동),서울특별시 마포구 공덕동 256-5,,,14132373.48,4515372.498
safe,아동복지관,아동안전지킴이집(504040),경성떡볶이,서울특별시 마포구 만리재옛길 18 (신공덕동),서울특별시 마포구 신공덕동 13-2,,,14132583.28,4515425.443
safe,아동복지관,아동안전지킴이집(504040),스마일문구점,서울특별시 마포구 도화2길 55 (도화동),서울특별시 마포구 도화동 347 -122,,,14132043.71,4514441.56
