SAFETY_SORT,SAFETY_GUBUN,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_PNU,SAFETY_LON,SAFETY_LAT,SAFETY_X,SAFETY_Y
traffic,교통사고,사망사고,안전운전 의무 불이행,,11440110,,,14130150.54,4516946.387
traffic,교통사고,중상사고,안전운전 의무 불이행,,11440110,,,14130091.51,4516911.856
traffic,교통사고,경상사고,안전운전 의무 불이행,,11440110,,,14130389.4,4516837.717
traffic,교통사고,중상사고,안전운전 의무 불이행,,11440113,,,14130006.46,4517012.596
traffic,교통사고,중상사고,보행자 보호의무 위반,,11440120,,,14128200.89,4516726.831
traffic,교통사고,사망사고,안전운전 의무 불이행,,11440120,,,14127974.26,4516689.975
