SAFETY_SORT,SAFETY_GUBUN,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_PNU,SAFETY_LON,SAFETY_LAT,SAFETY_X,SAFETY_Y
accident,붕괴사고,붕괴,건물붕괴,서울특별시 마포구 상암동 1607,,,,14125587.42,4520151.004
accident,붕괴사고,붕괴,건물붕괴,서울특별시 마포구 도화동 25-13,,,,14132196.73,4515030.656
accident,붕괴사고,붕괴,건물붕괴,서울특별시 마포구 토정로 316,,,,14131285,4514573.062
