::1 - - [29/Apr/2023:01:27:33 +0900] "GET /resources/images/public2.svg HTTP/1.1" 200 634
::1 - - [29/Apr/2023:01:27:33 +0900] "GET /resources/images/edu2.svg HTTP/1.1" 200 1186
::1 - - [29/Apr/2023:01:27:34 +0900] "GET /resources/images/health2.svg HTTP/1.1" 200 885
::1 - - [29/Apr/2023:01:27:35 +0900] "GET /resources/images/accident2.svg HTTP/1.1" 200 2289
::1 - - [29/Apr/2023:01:27:35 +0900] "GET /safety?sort=public HTTP/1.1" 200 13642
::1 - - [29/Apr/2023:01:27:40 +0900] "GET /resources/images/safe2.svg HTTP/1.1" 200 2353
::1 - - [29/Apr/2023:01:27:42 +0900] "GET /safety?sort=accident HTTP/1.1" 200 2577
::1 - - [29/Apr/2023:01:28:16 +0900] "GET / HTTP/1.1" 200 5406
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/ol/ol.css HTTP/1.1" 200 3729
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/ol/proj4js-2.3.14.js HTTP/1.1" 200 74192
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/bootstrap-5.2.3-dist/css/bootstrap.min.css HTTP/1.1" 200 194907
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/css/index.css HTTP/1.1" 200 4772
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/ol/ol.js HTTP/1.1" 200 654673
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/ol/jsts.min.js HTTP/1.1" 200 478058
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/index.js HTTP/1.1" 200 15456
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/jquery-3.6.1.min.js HTTP/1.1" 200 89666
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/bootstrap-5.2.3-dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 80426
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/ol/ol.css.map HTTP/1.1" 404 721
