127.0.0.1 - - [21/Apr/2023:10:25:02 +0900] "GET / HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:08 +0900] "GET / HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:08 +0900] "GET /resources/js/ol/ol.css HTTP/1.1" 200 3729
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:08 +0900] "GET /resources/js/ol/proj4js-2.3.14.js HTTP/1.1" 200 74192
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:08 +0900] "GET /resources/js/bootstrap-5.2.3-dist/css/bootstrap.min.css HTTP/1.1" 200 194907
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:08 +0900] "GET /resources/js/ol/jsts.min.js HTTP/1.1" 200 478058
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:08 +0900] "GET /resources/js/ol/ol.js HTTP/1.1" 200 654673
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:08 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:11 +0900] "GET /resources/js/bootstrap-5.2.3-dist/css/bootstrap.min.css HTTP/1.1" 200 194907
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:11 +0900] "GET /resources/js/ol/ol.css HTTP/1.1" 200 3729
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:11 +0900] "GET /resources/js/ol/jsts.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:11 +0900] "GET /resources/js/ol/ol.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:11 +0900] "GET /resources/js/ol/ol.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:25:11 +0900] "GET /resources/js/bootstrap-5.2.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 522639
